Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Player Link
Dennis Praet,be BEL,"MF,FW",Leicester City,26-246,1994,7.3,1.64,0.96,0.68,0.82,0.14,0.82,1.78,46.2,0.96,17.3,4.11,23.8,4.79,8.22,4.25,1.92,0.27,0.00,1.64,0.96,2.60,0.41,0.00,/en/players/86695068/Dennis-Praet
Davy Pröpper,nl NED,MF,Brighton,29-135,1991,2.0,2.00,1.50,0.00,2.00,0.00,0.00,1.00,0.0,1.00,12.0,5.50,45.8,5.50,5.50,1.00,1.00,0.00,0.00,1.00,0.50,2.50,0.00,0.00,/en/players/fdd85f94/Davy-Propper
Christian Pulisic,us USA,"FW,MF",Chelsea,22-119,1998,7.7,1.30,0.65,0.65,0.65,0.00,0.26,1.17,22.2,0.91,13.8,4.29,31.1,2.60,6.88,4.29,2.08,0.13,0.00,1.95,0.78,2.08,0.52,0.00,/en/players/1bf33a9a/Christian-Pulisic
Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22-246,1998,18.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.22,0.06,25.0,0.17,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,/en/players/466fb2c5/Aaron-Ramsdale
Jacob Ramsey,eng ENG,"MF,FW",Aston Villa,19-232,2001,1.4,0.00,0.00,0.00,0.00,0.00,0.00,1.43,0.0,1.43,21.4,2.86,13.3,8.57,11.4,1.43,1.43,0.71,0.00,0.71,0.00,0.00,0.71,0.00,/en/players/1544f145/Jacob-Ramsey
Darren Randolph,ie IRL,GK,West Ham,33-248,1987,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/6385ebfb/Darren-Randolph
Marcus Rashford,eng ENG,FW,Manchester Utd,23-076,1997,16.0,0.25,0.19,0.06,0.06,0.13,0.00,0.63,0.0,0.63,9.56,2.38,24.8,1.56,3.69,4.31,0.63,0.06,0.00,0.56,0.44,0.69,0.50,0.00,/en/players/a1d5bd30/Marcus-Rashford
Tim Ream,us USA,DF,Fulham,33-102,1987,5.0,1.00,0.40,1.00,0.00,0.00,0.40,1.00,40.0,0.60,5.00,1.20,24.0,2.40,2.60,0.00,1.80,0.80,0.00,1.00,0.60,1.60,3.40,0.20,/en/players/28b40c9c/Tim-Ream
Nathan Redmond,eng ENG,MF,Southampton,26-315,1994,4.5,2.44,1.33,1.33,0.89,0.22,0.67,1.78,37.5,1.11,14.4,4.44,30.8,4.44,6.44,3.56,1.11,0.00,0.00,1.11,0.00,2.44,0.67,0.00,/en/players/ab651565/Nathan-Redmond
Harrison Reed,eng ENG,MF,Fulham,25-354,1995,8.9,2.25,1.12,0.67,1.35,0.22,0.67,3.71,18.2,3.03,19.0,5.84,30.8,7.53,8.99,2.47,1.69,0.45,0.00,1.24,1.80,4.04,1.35,0.00,/en/players/803ae100/Harrison-Reed
Sergio Reguilón,es ESP,DF,Tottenham,24-030,1996,10.8,2.50,1.48,1.76,0.65,0.09,0.74,2.04,36.4,1.30,16.5,4.17,25.3,8.80,5.19,2.50,2.69,0.46,0.00,2.22,1.20,3.70,2.78,0.00,/en/players/3353737a/Sergio-Reguilon
Bobby Reid,jm JAM,"DF,FW",Fulham,27-348,1993,11.3,1.24,0.71,0.44,0.53,0.27,0.35,1.06,33.3,0.71,13.6,3.89,28.6,4.16,5.66,3.81,1.50,0.18,0.00,1.33,0.80,2.04,1.06,0.00,/en/players/0f7533cd/Bobby-Reid
Declan Rice,eng ENG,MF,West Ham,22-001,1999,17.0,2.65,1.88,1.59,1.00,0.06,1.06,2.06,51.4,1.00,15.4,5.00,32.4,6.53,7.76,1.12,1.65,0.24,0.00,1.41,1.76,4.41,1.06,0.06,/en/players/1c7012b8/Declan-Rice
Richarlison,br BRA,FW,Everton,23-250,1997,11.2,2.05,1.34,1.25,0.71,0.09,0.63,1.52,41.2,0.89,16.0,5.09,31.8,4.46,6.61,4.91,1.07,0.09,0.00,0.98,0.45,2.50,0.89,0.00,/en/players/fa031b34/Richarlison
Jaïro Riedewald,nl NED,MF,Crystal Palace,24-128,1996,6.7,2.09,1.04,1.04,0.75,0.30,0.90,1.94,46.2,1.04,11.3,2.84,25.0,5.67,4.48,1.19,2.39,0.60,0.00,1.79,0.30,2.39,1.04,0.00,/en/players/7a1f2c08/Jairo-Riedewald
Matt Ritchie,sco SCO,"DF,MF",Newcastle Utd,31-127,1989,5.9,1.36,0.68,0.68,0.34,0.34,0.34,1.53,22.2,1.19,9.83,2.54,25.9,5.08,3.39,1.36,2.20,0.17,0.00,2.03,0.85,2.20,2.88,0.00,/en/players/71ef519e/Matt-Ritchie
Tyler Roberts,wal WAL,"MF,FW",Leeds United,22-003,1999,2.7,1.11,0.37,0.37,0.74,0.00,0.00,1.48,0.0,1.48,22.6,4.81,21.3,2.96,11.5,8.15,1.48,0.37,0.00,1.11,0.00,1.11,0.37,0.00,/en/players/6c17e046/Tyler-Roberts
Andrew Robertson,sco SCO,DF,Liverpool,26-310,1994,17.0,0.94,0.59,0.65,0.24,0.06,0.53,1.29,40.9,0.76,7.88,3.00,38.1,2.94,2.35,2.59,1.82,0.41,0.00,1.41,0.53,1.47,1.88,0.06,/en/players/2e4f5f03/Andrew-Robertson
Antonee Robinson,us USA,DF,Fulham,23-160,1997,13.0,1.85,1.08,1.15,0.38,0.31,0.85,1.77,47.8,0.92,9.23,3.23,35.0,5.00,2.15,2.08,2.69,0.38,0.00,2.31,1.77,3.62,3.38,0.00,/en/players/289601e6/Antonee-Robinson
Callum Robinson,ie IRL,"FW,MF",West Brom,25-348,1995,9.4,0.43,0.11,0.11,0.11,0.21,0.11,0.85,12.5,0.74,14.3,3.72,26.1,1.70,5.11,7.45,0.64,0.00,0.00,0.64,0.43,0.85,0.74,0.00,/en/players/e75750a3/Callum-Robinson
Jack Robinson,eng ENG,DF,Sheffield Utd,27-136,1993,6.7,1.79,1.19,1.04,0.75,0.00,0.75,0.75,100.0,0.00,7.76,3.13,40.4,4.18,2.69,0.90,1.34,0.60,0.00,0.75,0.90,2.69,4.48,0.00,/en/players/7399c7a8/Jack-Robinson
Hal Robson-Kanu,wal WAL,"FW,MF",West Brom,31-239,1989,1.6,0.63,0.63,0.63,0.00,0.00,0.00,0.00,,0.00,17.5,1.88,10.7,1.88,8.75,6.88,1.88,0.00,0.00,1.88,0.00,0.63,1.88,0.00,/en/players/fb2dec57/Hal-Robson-Kanu
Marek Rodák,sk SVK,GK,Fulham,24-033,1996,1.0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.0,1.00,2.00,0.00,0.0,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/17acc2ed/Marek-Rodak
Joe Rodon,wal WAL,DF,Tottenham,23-085,1997,1.1,0.91,0.91,0.91,0.00,0.00,0.91,0.91,100.0,0.00,4.55,1.82,40.0,2.73,1.82,0.00,0.91,0.91,0.00,0.00,0.91,1.82,7.27,0.91,/en/players/8d62d31a/Joe-Rodon
Rodri,es ESP,MF,Manchester City,24-207,1996,15.1,2.19,1.72,0.79,1.06,0.33,0.93,2.45,37.8,1.52,14.9,5.23,35.1,5.43,7.48,1.99,1.52,0.33,0.00,1.19,0.79,2.98,1.99,0.07,/en/players/6434f10d/Rodri
Rodrigo,es ESP,MF,Leeds United,29-315,1991,9.1,1.32,0.88,0.77,0.33,0.22,0.11,1.76,6.3,1.65,15.9,4.07,25.5,3.41,7.91,4.62,0.88,0.00,0.00,0.88,0.33,1.65,0.55,0.00,/en/players/1fb1c435/Rodrigo
James Rodríguez,co COL,"FW,MF",Everton,29-187,1991,10.6,1.04,0.66,0.19,0.66,0.19,0.38,2.36,16.0,1.98,11.5,3.30,28.7,3.40,5.57,2.55,1.32,0.00,0.00,1.32,0.66,1.70,0.09,0.00,/en/players/715bf047/James-Rodriguez
Jay Rodriguez,eng ENG,"FW,MF",Burnley,31-170,1989,6.2,0.97,0.48,0.48,0.48,0.00,0.16,1.13,14.3,0.97,18.5,4.35,23.5,3.71,7.42,7.42,1.94,0.48,0.00,1.45,0.48,1.45,0.65,0.00,/en/players/4ab53cdb/Jay-Rodriguez
Oriol Romeu,es ESP,MF,Southampton,29-113,1991,14.5,3.52,1.66,1.38,1.86,0.28,0.97,3.10,31.1,2.14,17.2,5.17,30.1,6.21,9.59,1.38,1.66,0.41,0.00,1.24,1.03,4.55,0.90,0.00,/en/players/4b511457/Oriol-Romeu
Antonio Rüdiger,de GER,DF,Chelsea,27-318,1993,2.0,0.50,0.00,0.50,0.00,0.00,0.00,0.50,0.0,0.50,4.00,1.00,25.0,3.00,1.00,0.00,2.00,1.50,0.00,0.50,0.00,0.50,3.50,0.00,/en/players/18b896d6/Antonio-Rudiger
Mathew Ryan,au AUS,GK,Brighton,28-282,1992,11.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.18,0.00,0.0,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,/en/players/4535e4bb/Mathew-Ryan
Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,23-309,1997,6.5,1.23,0.92,0.62,0.46,0.15,0.15,0.62,25.0,0.46,11.5,3.23,28.0,2.46,6.31,2.77,0.62,0.00,0.00,0.62,0.31,1.54,0.00,0.00,/en/players/2b16cb1a/Allan-Saint-Maximin
Romain Saïss,ma MAR,DF,Wolves,30-295,1990,12.7,1.10,0.71,0.94,0.16,0.00,0.39,1.02,38.5,0.63,8.27,2.83,34.3,5.75,2.36,0.16,2.05,0.63,0.08,1.42,0.94,2.05,6.14,0.00,/en/players/9fbbcf39/Romain-Saiss
Bukayo Saka,eng ENG,"FW,DF",Arsenal,19-132,2001,14.7,0.95,0.68,0.27,0.61,0.07,0.07,1.09,6.3,1.02,11.1,3.40,30.7,2.72,4.63,3.74,1.77,0.14,0.00,1.63,0.82,1.77,1.09,0.00,/en/players/bc7dc64d/Bukayo-Saka
Mamadou Sakho,fr FRA,DF,Crystal Palace,30-337,1990,3.1,1.29,0.65,0.32,0.97,0.00,0.97,0.97,100.0,0.00,4.52,1.94,42.9,2.58,1.94,0.00,0.97,0.65,0.00,0.32,0.00,1.29,4.52,0.32,/en/players/87935cf3/Mamadou-Sakho
Mohamed Salah,eg EGY,FW,Liverpool,28-214,1992,15.0,1.07,0.53,0.27,0.40,0.40,0.33,0.53,62.5,0.20,12.4,4.47,36.0,0.93,3.53,7.93,0.40,0.07,0.00,0.33,0.20,1.27,0.20,0.00,/en/players/e342ad68/Mohamed-Salah
Davinson Sánchez,co COL,DF,Tottenham,24-217,1996,6.0,2.33,1.50,1.83,0.50,0.00,0.83,1.83,45.5,1.00,9.83,2.67,27.1,6.17,3.17,0.50,1.17,0.50,0.00,0.67,0.50,2.83,6.00,0.00,/en/players/da7b447d/Davinson-Sanchez
Robert Sánchez,es ESP,GK,Brighton,23-058,1997,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/6a713852/Robert-Sanchez
Romaine Sawyers,kn SKN,MF,West Brom,29-074,1991,12.7,1.65,1.02,1.02,0.55,0.08,0.71,2.28,31.0,1.57,20.7,4.88,23.6,10.2,8.82,1.65,1.18,0.16,0.00,1.02,1.57,3.23,0.71,0.08,/en/players/77bb1522/Romaine-Sawyers
Fabian Schär,ch SUI,DF,Newcastle Utd,29-026,1991,8.6,1.28,0.81,0.81,0.47,0.00,0.47,2.09,22.2,1.63,8.14,2.44,30.0,4.88,2.91,0.35,2.09,1.16,0.00,0.93,1.05,2.33,4.19,0.00,/en/players/c8aa95da/Fabian-Schar
Jeffrey Schlupp,gh GHA,MF,Crystal Palace,28-023,1992,10.8,1.48,0.65,0.74,0.56,0.19,0.56,1.67,33.3,1.11,13.8,3.43,24.8,5.37,6.30,2.13,2.59,0.65,0.00,1.94,0.93,2.41,0.46,0.09,/en/players/3312f911/Jeffrey-Schlupp
Kasper Schmeichel,dk DEN,GK,Leicester City,34-071,1986,17.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.06,0.00,0.0,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/53af52f3/Kasper-Schmeichel
Nélson Semedo,pt POR,DF,Wolves,27-060,1993,14.7,2.45,1.56,1.70,0.41,0.34,1.09,2.11,51.6,1.02,15.1,4.97,32.9,7.76,4.69,2.65,2.38,0.61,0.00,1.77,1.16,3.61,2.45,0.00,/en/players/d04b94db/Nelson-Semedo
Jamie Shackleton,eng ENG,"MF,DF",Leeds United,21-099,1999,3.4,1.76,1.18,1.18,0.59,0.00,0.29,1.47,20.0,1.18,14.1,2.94,20.8,4.71,6.18,3.24,1.47,0.29,0.00,1.18,1.47,3.24,1.47,0.00,/en/players/8d03ca5a/Jamie-Shackleton
Xherdan Shaqiri,ch SUI,"MF,FW",Liverpool,29-097,1991,1.0,3.00,3.00,2.00,1.00,0.00,0.00,1.00,0.0,1.00,14.0,8.00,57.1,3.00,5.00,6.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,/en/players/6421ec64/Xherdan-Shaqiri
Billy Sharp,eng ENG,FW,Sheffield Utd,34-345,1986,2.5,0.40,0.00,0.00,0.40,0.00,0.00,1.20,0.0,1.20,22.4,6.80,30.4,2.40,8.40,11.6,0.80,0.00,0.00,0.80,0.40,0.80,0.00,0.00,/en/players/e8c9f4e9/Billy-Sharp
Luke Shaw,eng ENG,DF,Manchester Utd,25-187,1995,11.9,2.77,1.93,1.34,0.92,0.50,1.26,2.02,62.5,0.76,12.5,5.21,41.6,4.62,5.80,2.10,2.18,0.17,0.00,2.02,0.59,3.36,2.10,0.08,/en/players/9c94165b/Luke-Shaw
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,28-323,1992,8.1,1.98,1.23,0.99,0.86,0.12,0.49,1.85,26.7,1.36,14.0,2.47,17.7,5.06,6.42,2.47,1.36,0.62,0.12,0.74,0.49,2.47,1.60,0.00,/en/players/3727dd3c/Jonjo-Shelvey
Gylfi Sigurðsson,is ISL,MF,Everton,31-129,1989,10.0,1.40,0.90,0.50,0.70,0.20,0.30,2.00,15.0,1.70,19.2,5.30,27.6,6.10,9.20,3.90,2.30,0.20,0.00,2.10,1.10,2.50,0.60,0.00,/en/players/76dd1480/Gylfi-Sigurdsson
Bernardo Silva,pt POR,"FW,MF",Manchester City,26-158,1994,8.2,1.59,1.10,0.61,0.85,0.12,0.49,2.20,22.2,1.71,18.8,5.61,29.9,3.78,9.02,5.98,0.61,0.12,0.00,0.49,0.49,2.07,0.37,0.00,/en/players/3eb22ec9/Bernardo-Silva
Fábio Silva,pt POR,FW,Wolves,18-180,2002,6.7,0.60,0.30,0.15,0.45,0.00,0.15,0.60,25.0,0.45,13.0,2.24,17.2,1.79,7.76,3.43,0.60,0.00,0.00,0.60,0.45,1.04,0.30,0.00,/en/players/e7aa9d7c/Fabio-Silva
Thiago Silva,br BRA,DF,Chelsea,36-115,1984,11.8,1.19,0.68,0.93,0.17,0.08,0.59,0.93,63.6,0.34,4.41,1.53,34.6,2.03,2.12,0.25,1.44,0.85,0.00,0.59,1.27,2.46,4.75,0.08,/en/players/86e7deaf/Thiago-Silva
Moussa Sissoko,fr FRA,MF,Tottenham,31-152,1989,12.8,1.56,1.25,1.33,0.23,0.00,0.55,1.33,41.2,0.78,13.8,4.38,31.6,7.89,4.61,1.33,1.56,0.23,0.00,1.33,0.94,2.50,1.80,0.00,/en/players/2acd49b9/Moussa-Sissoko
Islam Slimani,dz ALG,FW,Leicester City,32-211,1988,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,25.0,10.0,40.0,0.00,15.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/ffec9769/Islam-Slimani
William Smallbone,ie IRL,MF,Southampton,20-329,2000,1.2,2.50,0.83,1.67,0.83,0.00,0.00,2.50,0.0,2.50,18.3,7.50,40.9,4.17,9.17,5.00,0.83,0.00,0.00,0.83,0.83,3.33,0.00,0.00,/en/players/5e105217/William-Smallbone
Emile Smith-Rowe,eng ENG,MF,Arsenal,20-171,2000,3.5,1.14,0.86,0.29,0.86,0.00,0.57,1.14,50.0,0.57,16.9,4.86,28.8,2.86,8.00,6.00,0.29,0.00,0.00,0.29,0.57,1.71,0.86,0.00,/en/players/17695062/Emile-Smith-Rowe
Robert Snodgrass,sco SCO,"FW,DF",West Ham,33-130,1987,0.1,10.0,10.0,0.00,0.00,10.0,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,/en/players/9f4647e9/Robert-Snodgrass
Cédric Soares,pt POR,MF,Arsenal,29-137,1991,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/839c14e1/Cedric-Soares
Tomáš Souček,cz CZE,MF,West Ham,25-323,1995,17.0,1.94,1.12,0.71,1.00,0.24,0.71,2.41,29.3,1.71,14.9,3.94,26.5,5.24,7.35,2.29,1.24,0.24,0.00,1.00,1.35,3.29,2.82,0.06,/en/players/6613c819/Tomas-Soucek
Çağlar Söyüncü,tr TUR,DF,Leicester City,24-237,1996,4.1,0.98,0.98,0.24,0.73,0.00,0.24,0.98,25.0,0.73,9.02,3.41,37.8,5.12,3.41,0.49,1.95,0.98,0.00,0.98,0.98,1.95,4.15,0.24,/en/players/21166ff4/Caglar-Soyuncu
Zack Steffen,us USA,GK,Manchester City,25-288,1995,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/42130443/Zack-Steffen
Dale Stephens,eng ENG,MF,Burnley,31-217,1989,2.6,3.08,1.54,1.15,1.54,0.38,1.54,2.69,57.1,1.15,13.8,5.38,38.9,3.85,8.85,1.15,1.15,0.00,0.00,1.15,0.77,3.85,0.00,0.00,/en/players/653ee42d/Dale-Stephens
Jack Stephens,eng ENG,DF,Southampton,26-354,1994,6.5,2.46,1.23,1.54,0.77,0.15,1.08,2.31,46.7,1.23,8.77,2.92,33.3,4.92,3.38,0.46,1.54,0.77,0.00,0.77,1.23,3.69,5.69,0.00,/en/players/6adbc307/Jack-Stephens
Raheem Sterling,eng ENG,FW,Manchester City,26-038,1994,13.2,0.98,0.98,0.08,0.68,0.23,0.30,0.91,33.3,0.61,11.4,3.41,29.8,1.52,5.30,4.62,0.83,0.00,0.00,0.83,0.23,1.21,0.08,0.00,/en/players/b400bde0/Raheem-Sterling
Enda Stevens,ie IRL,DF,Sheffield Utd,30-190,1990,14.0,2.07,1.07,1.07,0.71,0.29,0.64,1.79,36.0,1.14,12.1,3.14,26.0,5.86,4.00,2.21,2.21,0.43,0.00,1.79,1.36,3.43,3.21,0.07,/en/players/17d4507a/Enda-Stevens
John Stones,eng ENG,DF,Manchester City,26-232,1994,8.0,0.75,0.38,0.50,0.25,0.00,0.38,0.63,60.0,0.25,4.88,1.50,30.8,2.38,2.38,0.13,2.00,0.63,0.00,1.38,0.50,1.25,2.63,0.00,/en/players/5eecec3d/John-Stones
Pascal Struijk,nl NED,"DF,MF",Leeds United,21-157,1999,6.3,1.59,0.79,1.11,0.48,0.00,0.48,1.59,30.0,1.11,14.4,4.92,34.1,6.51,6.67,1.27,1.27,0.48,0.00,0.79,1.43,3.02,4.44,0.00,/en/players/f4d296e4/Pascal-Struijk
Matt Targett,eng ENG,DF,Aston Villa,25-119,1995,15.0,2.20,1.53,0.93,0.67,0.60,1.13,2.33,48.6,1.20,8.73,3.33,38.2,3.93,3.20,1.60,2.00,0.40,0.00,1.60,0.73,2.93,3.07,0.00,/en/players/e514ab62/Matt-Targett
James Tarkowski,eng ENG,DF,Burnley,28-057,1992,14.0,2.14,1.21,1.79,0.29,0.07,0.93,1.50,61.9,0.57,6.57,3.00,45.7,4.43,1.93,0.21,1.79,1.07,0.00,0.71,1.00,3.14,6.36,0.07,/en/players/15ea812b/James-Tarkowski
Percy Tau,za RSA,FW,Brighton,26-247,1994,0.7,1.43,0.00,1.43,0.00,0.00,1.43,2.86,50.0,1.43,21.4,1.43,6.7,8.57,10.0,2.86,0.00,0.00,0.00,0.00,0.00,1.43,0.00,0.00,/en/players/4d0eb7d2/Percy-Tau
Charlie Taylor,eng ENG,DF,Burnley,27-119,1993,14.1,1.84,0.92,1.06,0.50,0.28,0.99,1.84,53.8,0.85,7.94,2.06,25.9,3.76,3.05,1.13,2.41,0.64,0.00,1.77,0.50,2.34,3.19,0.00,/en/players/cc2d7ad5/Charlie-Taylor
Nathan Tella,eng ENG,"FW,MF",Southampton,21-194,1999,1.8,0.56,0.00,0.00,0.56,0.00,0.56,1.11,50.0,0.56,26.1,6.11,23.4,2.78,13.3,10.0,1.67,0.00,0.00,1.67,0.00,0.56,0.56,0.00,/en/players/f1e94cd6/Nathan-Tella
Alex Telles,br BRA,DF,Manchester Utd,28-031,1992,4.8,1.67,0.83,1.46,0.21,0.00,0.63,1.46,42.9,0.83,9.17,2.71,29.5,4.38,3.13,1.67,1.67,0.00,0.00,1.67,1.25,2.92,3.33,0.00,/en/players/e73c9bb2/Alex-Telles
Kenny Tete,nl NED,DF,Fulham,25-098,1995,2.2,1.82,0.91,0.91,0.45,0.45,0.00,1.82,0.0,1.82,10.5,2.27,21.7,4.55,4.09,1.82,1.82,0.00,0.00,1.82,0.00,1.82,3.64,0.00,/en/players/77d7c96f/Kenny-Tete
Luke Thomas,eng ENG,DF,Leicester City,,,3.0,1.67,0.67,0.67,0.00,1.00,0.67,1.67,40.0,1.00,18.7,6.33,33.9,7.33,8.33,3.00,2.67,0.00,0.00,2.67,1.67,3.33,2.33,0.00,/en/players/fc027d02/Luke-Thomas
Youri Tielemans,be BEL,MF,Leicester City,23-253,1997,16.4,1.65,1.34,0.73,0.67,0.24,0.37,2.38,15.4,2.01,14.5,4.94,34.2,4.57,7.26,2.62,1.52,0.24,0.00,1.28,0.73,2.38,0.43,0.00,/en/players/56f7a928/Youri-Tielemans
Kieran Tierney,sco SCO,DF,Arsenal,23-224,1997,15.9,1.07,0.57,0.38,0.50,0.19,0.31,0.94,33.3,0.63,6.54,2.14,32.7,2.70,2.70,1.13,2.01,0.44,0.00,1.57,0.69,1.76,3.02,0.00,/en/players/fce2302c/Kieran-Tierney
James Tomkins,eng ENG,DF,Crystal Palace,31-292,1989,3.3,0.61,0.30,0.61,0.00,0.00,0.61,0.91,66.7,0.30,4.85,1.52,31.3,3.94,0.91,0.00,1.21,0.30,0.00,0.91,0.61,1.21,7.58,0.00,/en/players/e7ca0439/James-Tomkins
Fikayo Tomori,eng ENG,DF,Chelsea,23-027,1997,0.5,6.00,4.00,2.00,4.00,0.00,4.00,4.00,100.0,0.00,6.00,2.00,33.3,6.00,0.00,0.00,8.00,6.00,0.00,2.00,2.00,8.00,16.0,0.00,/en/players/7edfbb8a/Fikayo-Tomori
Ferrán Torres,es ESP,FW,Manchester City,20-321,2000,6.3,0.48,0.16,0.16,0.32,0.00,0.32,1.11,28.6,0.79,11.1,3.17,28.6,1.75,4.76,4.60,0.48,0.16,0.00,0.32,0.16,0.63,0.00,0.16,/en/players/9e1035f8/Ferran-Torres
Cenk Tosun,tr TUR,FW,Everton,29-222,1991,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,16.0,2.00,12.5,4.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,/en/players/9a104dee/Cenk-Tosun
Andros Townsend,eng ENG,MF,Crystal Palace,29-183,1991,13.4,2.76,1.57,1.34,0.97,0.45,0.90,3.43,26.1,2.54,19.9,5.30,26.7,9.10,7.84,2.91,2.31,0.07,0.00,2.24,1.57,4.33,0.60,0.00,/en/players/b28bbd58/Andros-Townsend
Conor Townsend,eng ENG,DF,West Brom,27-317,1993,7.8,1.79,1.15,1.15,0.64,0.00,0.90,1.67,53.8,0.77,11.2,3.08,27.6,5.13,4.23,1.79,1.67,0.90,0.13,0.77,0.90,2.69,1.92,0.00,/en/players/4dc4f138/Conor-Townsend
Adama Traoré,es ESP,"FW,DF",Wolves,24-356,1996,11.5,1.39,0.87,0.87,0.43,0.09,0.52,0.96,54.5,0.43,11.6,4.17,36.1,3.22,6.35,2.00,0.96,0.00,0.00,0.96,0.26,1.65,0.61,0.00,/en/players/9a28eba4/Adama-Traore
Bertrand Traoré,bf BFA,"FW,MF",Aston Villa,25-131,1995,6.8,0.88,0.29,0.44,0.15,0.29,0.29,1.47,20.0,1.18,15.0,2.94,19.6,3.82,6.03,5.15,0.59,0.00,0.00,0.59,0.74,1.62,1.32,0.00,/en/players/c47541e0/Bertrand-Traore
Trézéguet,eg EGY,FW,Aston Villa,26-106,1994,8.0,2.63,1.38,1.13,1.13,0.38,0.88,2.63,33.3,1.75,21.6,4.63,21.4,6.75,9.00,5.88,2.25,0.13,0.00,2.13,0.75,3.38,1.63,0.00,/en/players/3ae14ed1/Trezeguet
Leandro Trossard,be BEL,"FW,MF",Brighton,26-042,1994,12.3,0.89,0.57,0.16,0.65,0.08,0.24,0.89,27.3,0.65,11.8,3.98,33.8,2.93,4.80,4.07,1.46,0.16,0.00,1.30,0.33,1.22,0.24,0.00,/en/players/38ceb24a/Leandro-Trossard
Axel Tuanzebe,eng ENG,DF,Manchester Utd,23-062,1997,0.6,1.67,0.00,0.00,1.67,0.00,1.67,3.33,50.0,1.67,18.3,3.33,18.2,10.0,6.67,1.67,5.00,1.67,0.00,3.33,0.00,1.67,1.67,0.00,/en/players/2baec6ce/Axel-Tuanzebe
Cengiz Ünder,tr TUR,"MF,FW",Leicester City,23-185,1997,2.3,1.30,1.30,0.00,0.87,0.43,0.43,0.87,50.0,0.43,15.7,6.09,38.9,4.78,6.09,4.78,1.74,0.00,0.00,1.74,1.30,2.61,0.00,0.00,/en/players/1880614f/Cengiz-Under
Yan Valery,fr FRA,MF,Southampton,21-328,1999,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20.0,0.00,0.0,10.0,10.0,0.00,10.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,/en/players/531a4aa8/Yan-Valery
Jamie Vardy,eng ENG,FW,Leicester City,34-004,1987,14.5,0.34,0.14,0.07,0.07,0.21,0.00,0.48,0.0,0.48,9.52,2.28,23.9,0.34,3.31,5.86,0.34,0.21,0.00,0.14,0.21,0.55,1.17,0.00,/en/players/45963054/Jamie-Vardy
Joël Veltman,nl NED,DF,Brighton,29-000,1992,10.6,3.30,1.89,2.26,0.85,0.19,1.60,2.64,60.7,1.04,10.3,3.68,35.8,5.57,3.40,1.32,1.42,0.28,0.00,1.13,1.04,4.34,3.40,0.00,/en/players/dad4b285/Joel-Veltman
