Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,Player Link
Christian Benteke,be BEL,FW,Crystal Palace,30-043,1990,6.9,0.87,0.58,0.00,0.43,0.43,0.00,0.58,0.0,0.58,11.9,3.62,30.5,1.16,6.52,4.20,1.01,0.43,0.14,0.58,0.14,1.01,2.17,0.00,/en/players/ab070c55/Christian-Benteke
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-080,1990,3.7,0.81,0.54,0.00,0.54,0.27,0.27,1.35,20.0,1.08,7.03,1.62,23.1,1.89,3.51,1.62,1.08,0.00,0.00,1.08,0.54,1.35,0.81,0.00,/en/players/f72293fc/Johann-Berg-Gudmundsson
Sander Berge,no NOR,MF,Sheffield Utd,22-336,1998,11.3,1.86,1.42,0.80,0.71,0.35,0.44,1.50,29.4,1.06,16.9,4.87,28.8,5.93,8.32,2.65,1.77,0.18,0.00,1.59,0.27,2.12,1.50,0.09,/en/players/d0b6129f/Sander-Berge
Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-099,1997,7.6,1.05,0.53,0.53,0.26,0.26,0.39,2.24,17.6,1.84,19.3,3.95,20.4,5.39,7.50,6.45,1.18,0.13,0.00,1.05,0.66,1.71,0.53,0.00,/en/players/a29b1131/Steven-Bergwijn
Bernard,br BRA,"FW,MF",Everton,28-129,1992,3.0,1.33,1.00,0.33,0.33,0.67,0.67,2.33,28.6,1.67,15.3,3.33,21.7,5.00,6.33,4.00,2.33,0.00,0.00,2.33,1.33,2.67,0.33,0.00,/en/players/ab4b3e35/Bernard
Bernardo,br BRA,"DF,MF",Brighton,25-246,1995,2.3,3.48,2.17,2.61,0.43,0.43,1.74,2.61,66.7,0.87,14.8,5.65,38.2,6.52,3.91,4.35,2.61,0.00,0.00,2.61,0.00,3.48,1.30,0.00,/en/players/17370b95/Bernardo
Ryan Bertrand,eng ENG,DF,Southampton,31-163,1989,15.9,2.70,1.70,1.07,1.38,0.25,1.07,1.70,63.0,0.63,10.3,4.34,42.3,3.52,5.53,1.19,1.95,0.25,0.00,1.70,0.69,3.40,1.82,0.00,/en/players/01226327/Ryan-Bertrand
Yves Bissouma,ml MLI,MF,Brighton,24-138,1996,15.3,3.33,2.22,1.90,1.18,0.26,0.92,2.61,35.0,1.70,15.7,5.75,36.7,6.86,7.52,1.31,1.70,0.13,0.00,1.57,0.85,4.18,1.70,0.00,/en/players/6c203af0/Yves-Bissouma
Jayden Bogle,eng ENG,"DF,MF",Sheffield Utd,20-172,2000,2.4,2.08,0.83,0.83,1.25,0.00,0.83,2.92,28.6,2.08,21.7,5.00,23.1,10.4,5.83,5.42,4.17,0.42,0.00,3.75,0.83,2.92,1.25,0.00,/en/players/ae5019e6/Jayden-Bogle
Willy Boly,ci CIV,DF,Wolves,29-347,1991,12.0,1.83,1.08,1.42,0.42,0.00,0.75,1.67,45.0,0.92,6.58,1.75,26.6,4.17,2.17,0.25,1.42,0.50,0.00,0.92,1.00,2.83,5.08,0.00,/en/players/a4ac4b8f/Willy-Boly
